keyword,volume,cpc,ads_competition,intent,cluster,relevance,business_value,priority,coverage,existing_route,brand_category_gap,recommended_action,target_url,trend_change
hydraulic pump supplier,170,1.57,0.6,Transactional,"Hydraulic Pumps",5,5,A,title-partial,/products/hydraulic-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/,-0.371
hydraulic pump manufacturer,170,1.57,0.6,Transactional,"Hydraulic Pumps",5,5,A,dedicated,/products/hydraulic-pumps/,,"Optimize existing page",/products/hydraulic-pumps/,-0.371
hydraulic pump replacement,50,0.32,0.73,Commercial,"Replacement & Cross-reference",5,5,A,body-partial,/products/hydraulic-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/,0.770
hydraulic pump aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/products/hydraulic-pumps/,,"Add keyword coverage + internal links",/products/hydraulic-pumps/,0.000
hydraulic pump in stock,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,unmentioned,/products/hydraulic-pumps/,,"Add keyword coverage + internal links",/products/hydraulic-pumps/,0.000
hydraulic piston pump,720,1,0.8,Product research,"Hydraulic Pumps",5,4,B,dedicated,/products/hydraulic-pumps/axial-piston-pumps/,,"Optimize existing page",/products/hydraulic-pumps/axial-piston-pumps/,-0.383
hydraulic piston pump supplier,10,0,0.52,Transactional,"Hydraulic Pumps",5,5,B,dedicated,/products/hydraulic-pumps/axial-piston-pumps/,,"Optimize existing page",/products/hydraulic-pumps/axial-piston-pumps/,0.200
hydraulic piston pump manufacturer,10,0,0.52,Transactional,"Hydraulic Pumps",5,5,B,title-partial,/products/hydraulic-pumps/axial-piston-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/axial-piston-pumps/,0.200
hydraulic piston pump replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,title-partial,/products/hydraulic-pumps/axial-piston-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/axial-piston-pumps/,0.000
hydraulic piston pump aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,title-partial,/products/hydraulic-pumps/axial-piston-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/axial-piston-pumps/,0.000
hydraulic piston pump in stock,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,title-partial,/products/hydraulic-pumps/axial-piston-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/axial-piston-pumps/,0.000
axial piston pump,720,1.37,0.22,Product research,"Hydraulic Pumps",5,4,B,title-partial,/products/hydraulic-pumps/axial-piston-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/axial-piston-pumps/,0.056
axial piston pump supplier,10,0,0,Transactional,"Hydraulic Pumps",5,5,B,title-partial,/products/hydraulic-pumps/axial-piston-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/axial-piston-pumps/,0.091
axial piston pump manufacturer,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,body-partial,/products/hydraulic-pumps/axial-piston-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/axial-piston-pumps/,0.000
axial piston pump replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/products/hydraulic-pumps/axial-piston-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/axial-piston-pumps/,0.000
axial piston pump aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/products/hydraulic-pumps/axial-piston-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/axial-piston-pumps/,0.000
axial piston pump in stock,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,body-partial,/products/hydraulic-pumps/axial-piston-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/axial-piston-pumps/,0.000
variable displacement pump,480,0.94,0.31,Product research,"Hydraulic Pumps",3,4,A,body-partial,/products/hydraulic-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/,0.012
variable displacement pump supplier,0,0,0,Transactional,"Hydraulic Pumps",3,5,B,body-partial,/products/hydraulic-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/,0.000
variable displacement pump manufacturer,0,0,0,Transactional,"Hydraulic Pumps",3,5,B,body-partial,/products/hydraulic-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/,0.000
variable displacement pump replacement,0,0,0,Commercial,"Replacement & Cross-reference",3,5,B,body-partial,/products/hydraulic-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/,0.000
variable displacement pump aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",3,5,B,body-partial,/products/hydraulic-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/,0.000
variable displacement pump in stock,0,0,0,Transactional,"Hydraulic Pumps",3,5,B,body-partial,/products/hydraulic-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/,0.000
hydraulic vane pump,320,0.74,1,Product research,"Hydraulic Pumps",5,4,B,dedicated,/products/hydraulic-pumps/vane-pumps/,,"Optimize existing page",/products/hydraulic-pumps/vane-pumps/,0.024
hydraulic vane pump supplier,0,0,0,Transactional,"Hydraulic Pumps",5,5,C,dedicated,/products/hydraulic-pumps/vane-pumps/,,"Optimize existing page",/products/hydraulic-pumps/vane-pumps/,0.000
hydraulic vane pump manufacturer,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,title-partial,/products/hydraulic-pumps/vane-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/vane-pumps/,0.000
hydraulic vane pump replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,C,title-partial,/products/hydraulic-pumps/vane-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/vane-pumps/,0.000
hydraulic vane pump aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,title-partial,/products/hydraulic-pumps/vane-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/vane-pumps/,0.000
hydraulic vane pump in stock,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,title-partial,/products/hydraulic-pumps/vane-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/vane-pumps/,0.000
hydraulic gear pump,1300,0.51,1,Product research,"Hydraulic Pumps",5,4,B,dedicated,/products/hydraulic-pumps/gear-pumps/,,"Optimize existing page",/products/hydraulic-pumps/gear-pumps/,-0.423
hydraulic gear pump supplier,40,2.27,0.57,Transactional,"Hydraulic Pumps",5,5,A,title-partial,/products/hydraulic-pumps/gear-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/gear-pumps/,-0.721
hydraulic gear pump manufacturer,40,2.09,0.61,Transactional,"Hydraulic Pumps",5,5,A,dedicated,/products/hydraulic-pumps/gear-pumps/,,"Optimize existing page",/products/hydraulic-pumps/gear-pumps/,0.067
hydraulic gear pump replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,title-partial,/products/hydraulic-pumps/gear-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/gear-pumps/,0.000
hydraulic gear pump aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,title-partial,/products/hydraulic-pumps/gear-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/gear-pumps/,0.000
hydraulic gear pump in stock,0,0,0,Transactional,"Hydraulic Pumps",5,5,B,title-partial,/products/hydraulic-pumps/gear-pumps/,,"Optimize title/H1",/products/hydraulic-pumps/gear-pumps/,0.000
hydraulic motor,4400,0.24,1,Product research,"Hydraulic Motors",5,4,B,dedicated,/products/hydraulic-motors/,,"Optimize existing page",/products/hydraulic-motors/,-0.188
hydraulic motor supplier,90,1.85,0.12,Transactional,"Hydraulic Motors",5,5,A,title-partial,/products/hydraulic-motors/,,"Optimize title/H1",/products/hydraulic-motors/,-0.590
hydraulic motor manufacturer,90,1.85,0.12,Transactional,"Hydraulic Motors",5,5,B,dedicated,/products/hydraulic-motors/,,"Optimize existing page",/products/hydraulic-motors/,-0.590
hydraulic motor replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,body-partial,/products/hydraulic-motors/,,"Optimize title/H1",/products/hydraulic-motors/,0.000
hydraulic motor aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,unmentioned,/products/hydraulic-motors/,,"Add keyword coverage + internal links",/products/hydraulic-motors/,0.000
hydraulic motor in stock,0,0,0,Transactional,"Hydraulic Motors",5,5,B,unmentioned,/products/hydraulic-motors/,,"Add keyword coverage + internal links",/products/hydraulic-motors/,0.000
orbital hydraulic motor,390,0.41,1,Product research,"Hydraulic Motors",5,4,B,dedicated,/products/hydraulic-motors/orbital-hydraulic-motors/,,"Optimize existing page",/products/hydraulic-motors/orbital-hydraulic-motors/,-0.131
orbital hydraulic motor supplier,0,0,0,Transactional,"Hydraulic Motors",5,5,B,title-partial,/products/hydraulic-motors/orbital-hydraulic-motors/,,"Optimize title/H1",/products/hydraulic-motors/orbital-hydraulic-motors/,0.000
orbital hydraulic motor manufacturer,0,0,0,Transactional,"Hydraulic Motors",5,5,C,dedicated,/products/hydraulic-motors/orbital-hydraulic-motors/,,"Optimize existing page",/products/hydraulic-motors/orbital-hydraulic-motors/,0.000
orbital hydraulic motor replacement,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,title-partial,/products/hydraulic-motors/orbital-hydraulic-motors/,,"Optimize title/H1",/products/hydraulic-motors/orbital-hydraulic-motors/,0.000
orbital hydraulic motor aftermarket,0,0,0,Commercial,"Replacement & Cross-reference",5,5,B,title-partial,/products/hydraulic-motors/orbital-hydraulic-motors/,,"Optimize title/H1",/products/hydraulic-motors/orbital-hydraulic-motors/,0.000
orbital hydraulic motor in stock,0,0,0,Transactional,"Hydraulic Motors",5,5,B,title-partial,/products/hydraulic-motors/orbital-hydraulic-motors/,,"Optimize title/H1",/products/hydraulic-motors/orbital-hydraulic-motors/,0.000
radial piston motor,170,0.37,0.44,Product research,"Hydraulic Motors",3,4,B,dedicated,/products/hydraulic-motors/radial-piston-motors/,,"Optimize existing page",/products/hydraulic-motors/radial-piston-motors/,-0.707
